Date,Search Volume
2015-01,48
2015-02,46
2015-03,48
2015-04,46
2015-05,50
2015-06,46
2015-07,54
2015-08,58
2015-09,51
2015-10,51
2015-11,79
2015-12,82
2016-01,51
2016-02,49
2016-03,50
2016-04,46
2016-05,52
2016-06,51
2016-07,53
2016-08,57
2016-09,51
2016-10,52
2016-11,85
2016-12,69
2017-01,51
2017-02,50
2017-03,55
2017-04,57
2017-05,52
2017-06,56
2017-07,59
2017-08,63
2017-09,53
2017-10,52
2017-11,85
2017-12,76
2018-01,50
2018-02,52
2018-03,52
2018-04,47
2018-05,54
2018-06,48
2018-07,50
2018-08,54
2018-09,46
2018-10,45
2018-11,81
2018-12,67
2019-01,46
2019-02,46
2019-03,52
2019-04,47
2019-05,46
2019-06,50
2019-07,54
2019-08,57
2019-09,48
2019-10,49
2019-11,74
2019-12,76
2020-01,48
2020-02,43
2020-03,40
2020-04,54
2020-05,63
2020-06,49
2020-07,47
2020-08,45
2020-09,42
2020-10,41
2020-11,60
2020-12,56
2021-01,39
2021-02,34
2021-03,41
2021-04,41
2021-05,43
2021-06,37
2021-07,39
2021-08,43
2021-09,39
2021-10,37
2021-11,57
2021-12,50
2022-01,34
